Bindeglied zu Hausverwaltung;Name;Adresse;Ort;PLZ;EU-Kunde;Name 5;Leistungszeitraum;Kopftext
Hofer Stockerau;1 Breitenleerstraße 106;1 Breitenleerstraße 106;Wien;1220;22;nz;Hr. Lang, 0664/8383417;    Filiale 1
Hofer Stockerau;10 Brunnengasse 38;10 Brunnengasse 38;Wien;1160;16;nz;;Filiale 10 1160 Wien, Brunnengasse 38   
Hofer Stockerau;11 Hernalser Hauptstraße 158;11 Hernalser Hauptstraße 158;Wien;1170;17;nz;;Filiale 11    
Hofer Stockerau;12 Klausgasse 4-8;12 Klausgasse 4-8;Wien;1160;16;nz;;Filiale 12    
Hofer Stockerau;14 Obkirchergasse 35;14 Obkirchergasse 35;Wien;1190;19;nz;;Filiale 14    
Hofer Stockerau;15 Neutorgasse 2/Heinrichsgasse 1;15 Neutorgasse 2/Heinrichsgasse 1;Wien;1010;1;nz;;    
Hofer Stockerau;16 Gotramgasse 9/Donaustätterstraße;16 Gotramgasse 9/Donaustätterstraße;Wien;1220;22;nz;;Filiale 16    
Hofer Stockerau;17 Lerchenfelderstraße 14;17 Lerchenfelderstraße 14;Wien;1080;8;nz;;    
Hofer Stockerau;18 Stromstraße 3-5;18 Stromstraße 3-5;Wien;1200;20;nz;;Filiale 18    
Hofer Stockerau;19 Leopoldauerstraße 45-49;19 Leopoldauerstraße 45-49;Wien;1210;21;nz;;Filiale 19    
Hofer Stockerau;21 Brünner Str. /Ebereschengasse 3;21 Brünner Str. /Ebereschengasse 3;Wien;1210;21;nz;;Filiale 21    
Hofer Stockerau;22 Niedermoserstraße 1/Dassanovskyweg;22 Niedermoserstraße 1/Dassanovskyweg;Wien;1220;22;nz;Hr. Lakakis, 0664/8383421;Filiale 22    
Hofer Stockerau;23 Angerner Str./Bodenzeile 2;23 Angerner Str./Bodenzeile 2;Gänserndorf;2230;0;nz;Fr. Schultes, 0664/8383416;Filiale 23    
Hofer Stockerau;24 Strazzeggasse 2;24 Strazzeggasse 2;Straßhof;2231;0;nz;; Filiale 24   
Hofer Stockerau;26 Umfahrungsstraße 14;26 Umfahrungsstraße 14;Zistersdorf;2225;0;nz;;Filiale 26    
Hofer Stockerau;27 Laaerstraße 77;27 Laaerstraße 77;Korneuburg;2100;0;nz;;Filiale 27    
Hofer Stockerau;29 Brandmayerstraße 38-48;29 Brandmayerstraße 38-48;Klosterneuburg-Weidling;3400;0;nz;;Filiale 29    
Hofer Stockerau;3 Brünner Str./Gerasdorfer Str. 51;3 Brünner Str./Gerasdorfer Str. 51;Wien;1210;21;nz;;Filiale 3    
Hofer Stockerau;30 Inkustraße 22;30 Inkustraße 22;Klosterneuburg;3400;0;nz;;Filiale 30    
Hofer Stockerau;31 Staasdorfer Straße 16;31 Staasdorfer Straße 16;Tulln;3430;0;nz;;Filiale 31    
Hofer Stockerau;32 Gschmeidlerstraße 16;32 Gschmeidlerstraße 16;Hollabrunn;2020;0;nz;;Filiale 32    
Hofer Stockerau;34 Ernstbrunnerstraße 2;34 Ernstbrunnerstraße 2;Mistelbach;2130;0;nz;Fr. Schultes, 0664/8383416;Filiale 34    
Hofer Stockerau;35 Europastraße 3;35 Europastraße 3;Langenrohr;3442;0;nz;;Filiale 35    
Hofer Stockerau;37 Pragerstraße 77;37 Pragerstraße 77;Horn;3580;0;nz;;Filiale 37    
Hofer Stockerau;4 Muthgasse 20A;4 Muthgasse 20A;Wien;1190;19;nz;;Filiale 4    
Hofer Stockerau;41 Hanfthal - Tayapark 7;41 Hanfthal - Tayapark 7;Laa/Thaya;2136;0;nz;Fr. Schultes, 0664/8383416;Filiale 41    
Hofer Stockerau;43 Horner Straße 89;43 Horner Straße 89;Stockerau;2000;0;nz;;Filiale 43    
Hofer Stockerau;5 Odoakergasse 36;5 Odoakergasse 36;Wien;1160;16;nz;;Filiale 5    
Hofer Stockerau;50 Dr. Karl-Renner-Ring 1b;50 Dr. Karl-Renner-Ring 1b;Groß Enzersdorf;2301;0;nz;;Filiale 50    
Hofer Stockerau;51 Meisengasse 8-10;51 Meisengasse 8-10;Langenzersdorf;2103;0;nz;;Filiale 51    
Hofer Stockerau;56 Baumfeldstraße 2;56 Baumfeldstraße 2;Poysdorf;2170;0;nz;;Filiale 56    
Hofer Stockerau;57 Winzerstraße 1;57 Winzerstraße 1;Wolkersdorf;2120;0;nz;;Filiale 57    
Hofer Stockerau;58 Hauptstraße 189;58 Hauptstraße 189;Kierling;3420;0;nz;; 3420 Kierling, Hauptstraße 189   
Hofer Stockerau;59 Leopold Figl Gasse 4;59 Leopold Figl Gasse 4;Deutsch Wagram;2232;;nz;Hr. Lakakis, 0664/8383421;Filiale 59    
Hofer Stockerau;6 Ziegelhofstraße 24;6 Ziegelhofstraße 24;Wien;1220;22;nz;Hr. Lang, 0664/8383417;Filiale 6    
Hofer Stockerau;61 Bahnhofstraße 1;61 Bahnhofstraße 1;Retz;2070;0;nz;;Filiale 61    
Hofer Stockerau;65 DDr. Maier Straße 1;65 DDr. Maier Straße 1;Großweikersdorf;3701;0;nz;Hr. Lang, 0664/8383417;Filiale 65    
Hofer Stockerau;68 Königstetter Straße 148;68 Königstetter Straße 148;Tulln;3430;0;nz;;Filiale 68    
Hofer Stockerau;69 Bundesstraße 1;69 Bundesstraße 1;Leobendorf;2100;0;nz;;Filiale 69    
Hofer Stockerau;72 Wienerstraße 1;72 Wienerstraße 1;Ernstbrunn;2115;0;nz;;Filiale 72    
Hofer Stockerau;73 Leopoldauerstraße 22;73 Leopoldauerstraße 22;Gerasdorf;2201;;nz;;Filiale 73    
Hofer Stockerau;75 Adalbert-Stifter-Straße 40;75 Adalbert-Stifter-Straße 40;Wien;1200;20;nz;;    Filiale 75
Hofer Stockerau;77 Erzherzog-Karl-Straße 57;77 Erzherzog-Karl-Straße 57;Wien;1220;22;nz;;Filiale 77    
Hofer Stockerau;79 Siemensstraße 105;79 Siemensstraße 105;Wien;1210;21;nz;;    Filiale 79
Hofer Stockerau;8 Obere Augartenstraße 5;8 Obere Augartenstraße 5;Wien;1020;2;nz;;Filiale 8    
Hofer Stockerau;80 Prager Straße 115;80 Prager Straße 115;Wien;1210;21;nz;;    Filiale 80
Hofer Stockerau;81 Kaiserstraße 92;81 Kaiserstraße 92;Wien;1090;9;nz;;Filiale 81    
Hofer Stockerau;83 Gersthoferstraße 2 d;83 Gersthoferstraße 2 d;Wien;1180;18;nz;;    Filiale 83
Hofer Stockerau;84 Floridsdorfer Hauptstraße 25-27;84 Floridsdorfer Hauptstraße 25-27;Wien;1210;21;nz;;Filiale 84    
Hofer Stockerau;85 Hirschstettner Straße 34a;85 Hirschstettner Straße 34a;Wien;1220;22;nz;;Filiale 85    
Hofer Stockerau;87 Shuttleworthstraße 11;87 Shuttleworthstraße 11;Wien;1210;21;nz;;Filiale 87    
Hofer Stockerau;88 Sandleitengasse 34-36;88 Sandleitengasse 34-36;Wien;1160;16;nz;;Filiale 88    
Hofer Stockerau;9 Großenzersdorferstraße/Lohwaggasse 2;9 Großenzersdorferstraße/Lohwaggasse 2;Wien;1220;22;nz;;Filiale 9    
Hofer Stockerau;91 Heiligenstädter Straße 158;91 Heiligenstädter Straße 158;Wien;1190;19;nz;;Filiale 91    
Hofer Stockerau;93 Donaufelderstraße 137;93 Donaufelderstraße 137;Wien;1210;21;nz;;Filiale 93    
Hofer Stockerau;94 Nordwestbahnstraße 8-10;94 Nordwestbahnstraße 8-10;Wien;1200;20;nz;;Filiale 94    
Hofer Stockerau;96 Zieglergasse 58-64;96 Zieglergasse 58-64;Wien;1070;7;nz;;Filiale 96    
Hofer Stockerau;98 Brigittenauer Lände 50-54;98 Brigittenauer Lände 50-54;Wien;1200;20;nz;;    Filiale 98
HV Zickler;Abelegasse 24;Alberichgasse 3;Wien;1160;16;6;;An die WEG  Abelegasse 24 1160 Wien
IMV;Abelegasse 26;Alexander Poch Platz 4/Kleine Pfarrgasse 20;Wien;1160;16;6;;WEG Abelegasse 26 UID-Nr.:ATU58200404   
Bremer;Abt-Karl-Gasse 5;Allerheiligenplatz 6;Wien;1180;18;6;;An die WEG der Liegenschaft 1180 Wien    
Resag Business;Abt-Karlgasse 7;Alserbachstraße 11;Wien;1180;18;6;; WEG des Hauses Abt-Karl-Gasse 7 1180 Wien
Sokol;Achtundvierzigerplatz 7;Alserbachstraße 15/Thurygasse 4;Wien;1140;14;9;;    
Schönere Zukunft1;Adolf Schwayergasse 3;Alserstraße 10;Poysdorf;2170;0;04 10;Fr. Haitzinger, 0664/3699676;    
Schönere Zukunft1;Adolf Schwayergasse 7/1;Altau 15-21;Poysdorf;2170;0;04 10 ;;    
Schönere Zukunft1;Adolf Schwayergasse 7/2;Am Bach 465-473;Poysdorf;2170;0;04 10 ;;    
IMMO Contract;Aegidigasse 3;Am Hang 500;Wien;1060;6;7;; WEG Aegidigasse 3 1060 Wien
IS Immobilien;Aegidigasse 7-11;Am Heumarkt 7/Beatrixgasse 26 Stiege 1-8;Wien;1060;6;10;Nein, ; Miteigentümergemeinschaft Aegidigasse 7-11 1060 Wien
IMV;Ahornergasse 11;Am Kaisermühlendamm 99-103;Wien;1070;7;5;;WALTER IMMOREAL LKW Walter AG & Co OHG UID-Nummer:60534933   
IMV;Ahornergasse 11 Glasflächen;Am Pulverturm 45;Wien;1070;7;5;;WALTER IMMOREAL LKW Walter AG & Co OHG UID-Nummer:60534933   
Resag Home;Aichholzgasse 19;Am Pulverturm 47;Wien;1120;12;6;; HI des Hauses Aichholzgasse 19 1120 Wien
ÖBV;Alberichgasse 3;Am Pulverturm 53;Wien;1150;15;nz;;ESI Immobilienentwicklungs GmbH    
Resag Home;Albertgasse 35;Amalienstraße 55;Wien;1080;8;5;; HI d. H. 1080 Wien, Albertgasse 35   
Resag Home;Albrechtskreithgasse 4-6;Amselweg 1;Wien;1160;16;4;; WEG Albrechtskreithgasse 4-6 1160 Wien
ÖVW-E;Alexander Poch Platz 4/Kleine Pfarrgasse 20;Anastasius-Grün-Gasse 14;Wien;1020;2;nz;; An die HGM Alexander Poch Platz 4/Kleine Pfarrgasse 20 1020 Wien
